ID,Guardian (Guardians),Relation (Guardians)
12310-030,F12310-030,Father
12310-032,F12310-032,Father
12310-033,F12310-033,Father
12310-034,F12310-034,Father
12310-035,F12310-035,Father
12310-036,F12310-036,Father
12310-037,F12310-037,Father
12310-038,F12310-038,Father
12310-039,F12310-039,Father
12310-040,F12310-040,Father
12310-041,F12310-041,Father
12310-042,F12310-042,Father
12310-044,F12310-044,Father
12310-045,F12310-045,Father
12310-046,F12310-046,Father
12310-047,F12310-047,Father
12310-048,F12310-048,Father
12310-049,F12310-049,Father
12310-050,F12310-050,Father
12310-051,F12310-051,Father
12310-053,F12310-053,Father
12310-054,F12310-054,Father
12310-055,F12310-055,Father
12310-056,F12310-056,Father
12310-057,F12310-057,Father
12310-058,F12310-058,Father
12310-059,F12310-059,Father
12310-061,F12310-061,Father
12310-062,F12310-062,Father
12310-063,F12310-063,Father
12310-064,F12310-064,Father
12310-065,F12310-065,Father
12310-066,F12310-066,Father
12310-067,F12310-067,Father
12310-069,F12310-069,Father
12310-070,F12310-070,Father
12310-071,F12310-071,Father
12310-072,F12310-072,Father
12310-073,F12310-073,Father
12310-074,F12310-074,Father
12310-076,F12310-076,Father
12310-077,F12310-077,Father
12310-078,F12310-078,Father
12310-079,F12310-079,Father
12310-080,F12310-080,Father
12310-081,F12310-081,Father
12310-082,F12310-082,Father
12310-083,F12310-083,Father
12310-084,F12310-084,Father
12310-085,F12310-085,Father
12310-086,F12310-086,Father
12310-087,F12310-087,Father
12310-088,F12310-088,Father
12310-089,F12310-089,Father
12310-090,F12310-090,Father
12310-092,F12310-092,Father
12310-093,F12310-093,Father
12310-094,F12310-094,Father
12310-095,F12310-095,Father
12310-096,F12310-096,Father
12310-097,F12310-097,Father
12310-098,F12310-098,Father
12310-099,F12310-099,Father
12310-100,F12310-100,Father
12310-101,F12310-101,Father
12310-102,F12310-102,Father
12310-103,F12310-103,Father
12310-107,F12310-107,Father
12310-108,F12310-108,Father
12310-109,F12310-109,Father
12310-110,F12310-110,Father
12310-111,F12310-111,Father
12310-112,F12310-112,Father
12310-115,F12310-115,Father
12310-116,F12310-116,Father
12310-118,F12310-118,Father
12310-119,F12310-119,Father
12310-120,F12310-120,Father
12310-121,F12310-121,Father
12310-122,F12310-122,Father
12310-123,F12310-123,Father
12310-124,F12310-124,Father
12310-125,F12310-125,Father
12310-126,F12310-126,Father
12310-127,F12310-127,Father
12310-128,F12310-128,Father
12310-129,F12310-129,Father
12310-130,F12310-130,Father
12310-131,F12310-131,Father
12310-134,F12310-134,Father
12310-135,F12310-135,Father
12310-136,F12310-136,Father
12310-137,F12310-137,Father
12310-139,F12310-139,Father
12310-140,F12310-140,Father
12310-141,F12310-141,Father
12310-143,F12310-143,Father
12310-144,F12310-144,Father
12310-145,F12310-145,Father
12310-146,F12310-146,Father
12310-147,F12310-147,Father
12310-148,F12310-148,Father
12310-149,F12310-149,Father
12310-150,F12310-150,Father
12310-151,F12310-151,Father
12310-153,F12310-153,Father
12310-156,F12310-156,Father
12310-157,F12310-157,Father
12310-158,F12310-158,Father
12310-159,F12310-159,Father
12310-160,F12310-160,Father
12310-161,F12310-161,Father
12310-162,F12310-162,Father
12310-163,F12310-163,Father
12310-164,F12310-164,Father
12310-165,F12310-165,Father
12310-167,F12310-167,Father
12310-168,F12310-168,Father
12310-169,F12310-169,Father
12310-170,F12310-170,Father
12310-173,F12310-173,Father
12310-174,F12310-174,Father
12310-175,F12310-175,Father
12310-176,F12310-176,Father
12310-178,F12310-178,Father
12310-179,F12310-179,Father
12310-182,F12310-182,Father
12310-184,F12310-184,Father
12310-185,F12310-185,Father
12310-188,F12310-188,Father
12310-189,F12310-189,Father
12310-190,F12310-190,Father
12310-191,F12310-191,Father
12310-193,F12310-193,Father
12310-195,F12310-195,Father
12310-196,F12310-196,Father
12310-197,F12310-197,Father
12310-199,F12310-199,Father
12310-200,F12310-200,Father
12310-201,F12310-201,Father
12310-202,F12310-202,Father
12310-203,F12310-203,Father
12310-204,F12310-204,Father
12310-205,F12310-205,Father
12310-206,F12310-206,Father
12310-208,F12310-208,Father
12310-210,F12310-210,Father
12310-211,F12310-211,Father
12310-213,F12310-213,Father
12310-215,F12310-215,Father
12310-216,F12310-216,Father
12310-217,F12310-217,Father
12310-218,F12310-218,Father
12310-219,F12310-219,Father
12310-220,F12310-220,Father
12310-221,F12310-221,Father
12310-222,F12310-222,Father
12310-223,F12310-223,Father
12310-224,F12310-224,Father
12310-225,F12310-225,Father
12310-226,F12310-226,Father
12310-227,F12310-227,Father
12310-228,F12310-228,Father
12310-229,F12310-229,Father
12310-232,F12310-232,Father
12310-233,F12310-233,Father
12310-234,F12310-234,Father
12310-235,F12310-235,Father
12310-236,F12310-236,Father
12310-237,F12310-237,Father
12310-238,F12310-238,Father
12310-239,F12310-239,Father
12310-240,F12310-240,Father
12310-241,F12310-241,Father
12310-243,F12310-243,Father
12310-244,F12310-244,Father
12310-245,F12310-245,Father
12310-246,F12310-246,Father
12310-247,F12310-247,Father
12310-248,F12310-248,Father
12310-249,F12310-249,Father
12310-250,F12310-250,Father
12310-251,F12310-251,Father
12310-252,F12310-252,Father
12312-001,F12312-001,Father
12312-002,F12312-002,Father
12312-003,F12312-003,Father
12312-004,F12312-004,Father
12312-005,F12312-005,Father
12312-006,F12312-006,Father
12312-008,F12312-008,Father
12312-009,F12312-009,Father
12312-011,F12312-011,Father
12407-001,F12407-001,Father
12407-002,F12407-002,Father
12407-003,F12407-003,Father
12407-004,F12407-004,Father
12407-005,F12407-005,Father
12407-006,F12407-006,Father
12407-007,F12407-007,Father
12407-008,F12407-008,Father
12407-009,F12407-009,Father
12407-010,F12407-010,Father
12407-011,F12407-011,Father
12407-012,F12407-012,Father
12407-013,F12407-013,Father
12407-014,F12407-014,Father
12407-015,F12407-015,Father
12407-016,F12407-016,Father
12407-017,F12407-017,Father
12407-018,F12407-018,Father
12407-019,F12407-019,Father
12407-020,F12407-020,Father
12407-021,F12407-021,Father
12407-022,F12407-022,Father
